,Equal Weight,Classical Markowitz,NW (Gamma=1.0),NW (Gamma=0.0),BTC (Buy & Hold),SAC-Net (Excess NW),SAC-Net (Sharpe Incr)
2019-06-27,1.5682589794676558,1.5053112245362725,1.6703601944502344,1.7071378976193983,2.4745341688351576,1.5633441568978408,1.6651691889020164
2019-06-28,1.6519681577492327,1.583527501281746,1.7586636575631365,1.797207474057625,2.7316632946509056,1.6459902160655182,1.75319822288388
2019-06-29,1.6931696218062715,1.6214494113098294,1.7979307902777562,1.8386292392361552,2.6312134036374384,1.6827416202363705,1.7923433400043702
2019-06-30,1.5325833673227396,1.4759892816611082,1.6318911272609433,1.6681284701013714,2.3670873663122056,1.5273397291397013,1.6268196816096137
2019-07-01,1.5574592604112023,1.4849999937233762,1.649355664586507,1.686099314616165,2.3153152577185505,1.5436853506392723,1.644229942872822
2019-07-02,1.5334325409115126,1.4626453963417603,1.6162043271230353,1.6510388989244453,2.3626398238194035,1.512657960117673,1.611181655049028
2019-07-03,1.5920881530867248,1.5199355176555829,1.6636393740135231,1.6968954406297734,2.6035639316761436,1.557053997100101,1.6584693466479175
2019-07-04,1.517560045079436,1.457532558214747,1.6200446776054418,1.6473360434546036,2.4359394209279053,1.5162522895752821,1.615010115923508
2019-07-05,1.5110293314174894,1.4453471989770794,1.6075301674362137,1.6360932526842331,2.3839174748118483,1.5045395505726715,1.6025344798253633
2019-07-06,1.5249365412364946,1.4628333186295517,1.6140510971535533,1.6493778958990915,2.433364171251192,1.5106427047401925,1.6090351454340208
2019-07-07,1.5762160717019422,1.5095163490076828,1.661897824104634,1.6925422155977268,2.485405857876979,1.5554239965372625,1.6567331456722398
2019-07-08,1.6014872011157433,1.5347034115918965,1.6851321284334018,1.7107928961902197,2.6603618072707107,1.5771697556672113,1.6798952893521881
2019-07-09,1.5804109969639828,1.5098509599208727,1.655404529932189,1.6802164817029093,2.7219739065974164,1.549346725749458,1.650260067711365
2019-07-10,1.4712974290319238,1.4140655844337382,1.5523637045762517,1.5812309979446453,2.630103945632955,1.4529074667864081,1.547539449795692
2019-07-11,1.3365123595867714,1.3098913367998035,1.4324373175650267,1.4644910544133922,2.451560874772195,1.3406644948837414,1.4279857758408923
2019-07-12,1.39999799054488,1.3862398443586939,1.4988650100997778,1.5432179338373222,2.5483307337758796,1.402836330595655,1.494207030894882
2019-07-13,1.3609035611641538,1.3460399256604056,1.4665468054531983,1.5100225135114227,2.455294304681937,1.3725886739239077,1.4619892628100484
2019-07-14,1.1920835079522145,1.2138689307256207,1.3056175890806716,1.3489577152493561,2.1973017964768,1.2219698523439813,1.3015601832236903
2019-07-15,1.2256599795932561,1.2347589918682753,1.322750849291038,1.3627720221177904,2.330114630440585,1.2380053786018723,1.3186401788846656
