Date,NW (Gamma=1.0),NW (Gamma=0.0),RL-Net (Defensive),RL-Net (Total Return)
2024-09-29,1.3757965506745204,1.3323680258516066,1.3323680258516066,1.3711375119872544
2024-09-30,1.3304566181106767,1.2899543494864592,1.2899543494864592,1.3263568946854347
2024-10-01,1.278250893607377,1.2364739664855537,1.2364739664855537,1.2747695737377254
2024-10-02,1.253489074427297,1.2105985629367626,1.2105985629367626,1.2502422983738448
2024-10-03,1.2545432913378403,1.2105327905185932,1.2105327905185932,1.2513185366929498
2024-10-04,1.2727575344334625,1.2300034034941536,1.2300034034941536,1.2692834635849337
2024-10-05,1.2716201748543738,1.2289126207797199,1.2289126207797199,1.2680942188804414
2024-10-06,1.2810775985090506,1.238694018966878,1.238694018966878,1.2774405586570892
2024-10-07,1.271461887058807,1.2286304275344608,1.2286304275344608,1.2679359352518724
2024-10-08,1.2817556235540195,1.2364783339887833,1.2364783339887833,1.2781588935444195
2024-10-09,1.2650786704924952,1.217930692265378,1.217930692265378,1.2617712055978652
2024-10-10,1.263975659454397,1.2186149129844992,1.2186149129844992,1.2606109046091583
2024-10-11,1.2847034785814444,1.2400924451351378,1.2400924451351378,1.281145001218138
2024-10-12,1.2954044152051367,1.2494359392302044,1.2494359392302044,1.291800222994787
2024-10-13,1.2816478959999933,1.236128129616108,1.236128129616108,1.2782053986624473
2024-10-14,1.3326384614237203,1.2862438674329477,1.2862438674329477,1.3284635089186208
2024-10-15,1.3342774467886667,1.2862671618995258,1.2862671618995258,1.3300549933160095
2024-10-16,1.3471830716572997,1.297145128444315,1.297145128444315,1.3428719772292441
2024-10-17,1.3487231829617108,1.2961622705834481,1.2961622705834481,1.344329144901984
2024-10-18,1.3574539401000043,1.3051948466840417,1.3051948466840417,1.3529785948798734
2024-10-19,1.3580460523960325,1.3074934445457624,1.3074934445457624,1.353545823349275
2024-10-20,1.3688902198338557,1.320270522273747,1.320270522273747,1.3641840173345265
2024-10-21,1.347217815197405,1.2980681319347716,1.2980681319347716,1.3428419494189718
2024-10-22,1.3367670962918405,1.2871697460172147,1.2871697460172147,1.3326327505436288
2024-10-23,1.3184038803388003,1.2672351099896895,1.2672351099896895,1.3145871599078116
2024-10-24,1.344960476476218,1.2927293137097615,1.2927293137097615,1.3407938995227122
2024-10-25,1.2957570400348504,1.2450795893654616,1.2450795893654616,1.2921469130703356
2024-10-26,1.3070688395929437,1.256194643232342,1.256194643232342,1.3035000403088288
2024-10-27,1.3200721717295922,1.2690920343546885,1.2690920343546885,1.3162342802468436
2024-10-28,1.3333267477418111,1.284599868370747,1.284599868370747,1.3292198625272302
2024-10-29,1.365898299920404,1.3173897874658134,1.3173897874658134,1.361242459508481
2024-10-30,1.3501048193167842,1.3030699102165382,1.3030699102165382,1.345896628167348
2024-10-31,1.3130338090865186,1.2847358735163268,1.2847358735163268,1.3093099914080684
2024-11-01,1.3104172740284763,1.2834969577557584,1.2834969577557584,1.3067961484248465
2024-11-02,1.304243841549345,1.2773069821686311,1.2773069821686311,1.300588822162856
2024-11-03,1.2823616208033133,1.2662656145506914,1.2662656145506914,1.279040058210929
2024-11-04,1.2664693903510298,1.257639355106387,1.257639355106387,1.2633924771044636
2024-11-05,1.2841123696933163,1.2613455402918168,1.2613455402918168,1.2806335143551804
2024-11-06,1.3610562386441198,1.2957831654715959,1.2957831654715959,1.3564334590089748
2024-11-07,1.3793875019252981,1.3020978269397077,1.3020978269397077,1.3746910863919606
2024-11-08,1.3849241608924385,1.3059271890440471,1.3059271890440471,1.3802065161777148
2024-11-09,1.4114959691783722,1.31601894130262,1.31601894130262,1.4066857159141315
2024-11-10,1.454243592875877,1.3476465087528986,1.3476465087528986,1.4492878775381395
2024-11-11,1.5194032667539237,1.4031674519841781,1.4031674519841781,1.5142182904669441
2024-11-12,1.5680525885424803,1.4659622998590633,1.4659622998590633,1.5626870699646371
2024-11-13,1.5331310208883115,1.4347859975560735,1.4347859975560735,1.527893207367139
2024-11-14,1.596860646450628,1.4554661350165354,1.4554661350165354,1.581863345876643
2024-11-15,1.7589043298794753,1.5294383404238254,1.5294383404238254,1.7300457996203071
2024-11-16,2.160189692989505,1.6782923613905345,1.6782923613905345,2.103332440197029
2024-11-17,2.0393251139828825,1.6216145556908073,1.6216145556908073,1.9924864623068086
2024-11-18,2.212244392486056,1.68282593431351,1.68282593431351,2.1551052914809277
2024-11-19,2.193269980853999,1.6725705759377076,1.6725705759377076,2.138402929975159
2024-11-20,2.2280779212554447,1.6738862502004175,1.6738862502004175,2.1722355794907267
2024-11-21,2.287636265675076,1.7430907050927946,1.7430907050927946,2.2309959707792597
2024-11-22,2.399276439068688,1.8152355561345708,1.8152355561345708,2.3370668302312336
2024-11-23,2.5634937797657957,1.8459694533537614,1.8459694533537614,2.4918306780443524
2024-11-24,2.570933321000062,1.8398656909495068,1.8398656909495068,2.4991793216998164
2024-11-25,2.448639524226502,1.7745075326936437,1.7745075326936437,2.3807558618298406
2024-11-26,2.3994220780665163,1.7525766148882693,1.7525766148882693,2.33349712017815
2024-11-27,2.484955132432293,1.8123282360341866,1.8123282360341866,2.4167042081886967
2024-11-28,2.5204613855239493,1.83826654610438,1.83826654610438,2.45138719958788
2024-11-29,2.6469182773116047,1.9360525994440274,1.9360525994440274,2.5749270831396944
